order_id,product_id,product_title,category,price,quantity,total,status,created_at,date,day_name,hour,month,week,is_weekend
ORD-100030,41510630,Jaket Hoodie pria fashion GIVE IT UP big logo hitam murah size m,Fashion,89725,1,89725,COMPLETED,2026-01-03T16:45:54.161076,2026-01-03,Saturday,16,1,1,True
ORD-100031,48838750,"Original Jersey Tottenham Hotspur ""Home"" 2014/15 #2 Walker Capital One Cup Final Under Armour [sportswear, sepakbola, vintage, retro, 90s, y2k, skate, casual, fashion, atasan, unisex]",Fashion,185392,1,185392,COMPLETED,2026-01-03T10:32:54.161076,2026-01-03,Saturday,10,1,1,True
ORD-100032,79673141,"[M] PLAY FASHION [B4-32] - (KAOS POLO / KAOS BERKERAH) (POLO SHIRT) SECOND, THRIFT, BEKAS, PRELOVED, USED - 0uZk2cvEbQYleWOh4XCw",Fashion,109416,1,109416,COMPLETED,2026-01-03T16:56:54.161076,2026-01-03,Saturday,16,1,1,True
ORD-100033,52822737,Woman's Fashion Atasan Y2K/Coquette,Fashion,9971,1,9971,COMPLETED,2026-01-03T16:06:54.161076,2026-01-03,Saturday,16,1,1,True
ORD-100034,93805000,Jaket parka army military green hijau m65 fashion L brenn,Fashion,320829,1,320829,COMPLETED,2026-01-04T16:43:54.161076,2026-01-04,Sunday,16,1,1,True
ORD-100035,64544318,Kemeja Tnf Lengan Panjang Fashion /Outdoor Pria Original,Fashion,328778,3,986334,COMPLETED,2026-01-04T15:55:54.161076,2026-01-04,Sunday,15,1,1,True
ORD-100036,62349101,Longsleeve Lacoste Fashion,Fashion,68325,1,68325,COMPLETED,2026-01-04T15:17:54.161076,2026-01-04,Sunday,15,1,1,True
ORD-100037,29880574,Max Fashion shirt O neck size S,Fashion,69811,1,69811,SHIPPED,2026-01-04T15:35:54.161076,2026-01-04,Sunday,15,1,1,True
ORD-100038,62349101,Longsleeve Lacoste Fashion,Fashion,90979,1,90979,CANCELLED,2026-01-04T19:59:54.161076,2026-01-04,Sunday,19,1,1,True
ORD-100039,79673141,"[M] PLAY FASHION [B4-32] - (KAOS POLO / KAOS BERKERAH) (POLO SHIRT) SECOND, THRIFT, BEKAS, PRELOVED, USED - 0uZk2cvEbQYleWOh4XCw",Fashion,109425,1,109425,COMPLETED,2026-01-04T13:03:54.161076,2026-01-04,Sunday,13,1,1,True
ORD-100040,39613896,Hodie Fashion sz M 67x55,Fashion,90588,1,90588,SHIPPED,2026-01-04T14:29:54.161076,2026-01-04,Sunday,14,1,1,True
ORD-100041,76724915,Brand fashion jepang ills,Fashion,128292,1,128292,COMPLETED,2026-01-04T22:45:54.161076,2026-01-04,Sunday,22,1,1,True
ORD-100042,2090480,Fashion wanita / Atasan wanita / Kemeja / Vintage,Fashion,66214,1,66214,COMPLETED,2026-01-04T21:34:54.161076,2026-01-04,Sunday,21,1,1,True
ORD-100043,45541267,Top Y2K 2000s Downtown Style | Atasan Kaos .✦ ݁˖ sawako shoujo vintage coquette morikei fairy y2k 2000s cottage whimsical downtown girl bohemian boho etnik retro grunge emo gothic alt core korean style japanese fashion,Fashion,39678,1,39678,SHIPPED,2026-01-05T16:10:54.161076,2026-01-05,Monday,16,1,2,False
ORD-100044,25649285,Fashion NY 68 Varsity Jacket,Fashion,139806,3,419418,COMPLETED,2026-01-05T13:43:54.161076,2026-01-05,Monday,13,1,2,False
ORD-100045,79673141,"[M] PLAY FASHION [B4-32] - (KAOS POLO / KAOS BERKERAH) (POLO SHIRT) SECOND, THRIFT, BEKAS, PRELOVED, USED - 0uZk2cvEbQYleWOh4XCw",Fashion,127663,1,127663,COMPLETED,2026-01-05T16:02:54.161076,2026-01-05,Monday,16,1,2,False
ORD-100046,22339853,Kaos Fashion 68 Hitam,Fashion,16891,1,16891,COMPLETED,2026-01-06T14:42:54.161076,2026-01-06,Tuesday,14,1,2,False
ORD-100047,45541267,Top Y2K 2000s Downtown Style | Atasan Kaos .✦ ݁˖ sawako shoujo vintage coquette morikei fairy y2k 2000s cottage whimsical downtown girl bohemian boho etnik retro grunge emo gothic alt core korean style japanese fashion,Fashion,37041,1,37041,COMPLETED,2026-01-06T17:20:54.161076,2026-01-06,Tuesday,17,1,2,False
ORD-100048,15767726,Kemeja Tnf Buat Fashion /Outdoor Original,Fashion,344539,1,344539,COMPLETED,2026-01-06T16:34:54.161076,2026-01-06,Tuesday,16,1,2,False
ORD-100049,38992108,Fashion Today - Kemeja Crinkle Coklat,Fashion,33354,1,33354,COMPLETED,2026-01-06T15:15:54.161076,2026-01-06,Tuesday,15,1,2,False
ORD-100050,76724915,Brand fashion jepang ills,Fashion,123349,1,123349,COMPLETED,2026-01-07T17:51:54.161076,2026-01-07,Wednesday,17,1,2,False
ORD-100051,64544318,Kemeja Tnf Lengan Panjang Fashion /Outdoor Pria Original,Fashion,408500,1,408500,PROCESSED,2026-01-07T16:06:54.161076,2026-01-07,Wednesday,16,1,2,False
ORD-100052,88364831,Jaket parka army military green hijau m65 fashion guess,Fashion,251177,1,251177,COMPLETED,2026-01-07T18:18:54.161076,2026-01-07,Wednesday,18,1,2,False
ORD-100053,50423645,Cardigan rajut fashion,Fashion,67414,1,67414,SHIPPED,2026-01-07T17:32:54.161076,2026-01-07,Wednesday,17,1,2,False
ORD-100054,2090480,Fashion wanita / Atasan wanita / Kemeja / Vintage,Fashion,82112,1,82112,COMPLETED,2026-01-07T11:53:54.161076,2026-01-07,Wednesday,11,1,2,False
ORD-100055,96953448,Kemeja Veterano Fashion not Caltop Pendleton Ralph Lauren Giordano,Fashion,72339,1,72339,CANCELLED,2026-01-07T12:10:54.161076,2026-01-07,Wednesday,12,1,2,False
ORD-100056,50133989,kemeja ootd jumbo bigsize preloved fashion today,Fashion,69619,1,69619,COMPLETED,2026-01-07T08:56:54.161076,2026-01-07,Wednesday,8,1,2,False
ORD-100057,42320964,Fitted Top Shirt Y2K 2000s Coquette Style | Atasan Kemeja .✦ ݁˖ sawako shoujo vintage coquette morikei fairy y2k 2000s cottage whimsical downtown girl bohemian boho etnik retro grunge emo gothic alt core korean style japanese fashion,Fashion,53675,2,107350,COMPLETED,2026-01-07T19:09:54.161076,2026-01-07,Wednesday,19,1,2,False
ORD-100058,88364831,Jaket parka army military green hijau m65 fashion guess,Fashion,209172,1,209172,CANCELLED,2026-01-08T21:02:54.161076,2026-01-08,Thursday,21,1,2,False
ORD-100059,88243349,(NO NEGO) FRAGILE tailored faux leather shirt jacket black structured office chic vintage officewear structured top korean fashion japanese style collared shirt fitted shirt blazer style black formal polyurethane shirt minimal chic,Fashion,34993,1,34993,SHIPPED,2026-01-08T12:56:54.161076,2026-01-08,Thursday,12,1,2,False
ORD-100060,22339853,Kaos Fashion 68 Hitam,Fashion,17996,3,53988,COMPLETED,2026-01-08T20:10:54.161076,2026-01-08,Thursday,20,1,2,False
ORD-100061,3650811,TB fashion,Fashion,136487,2,272974,COMPLETED,2026-01-08T18:59:54.161076,2026-01-08,Thursday,18,1,2,False
ORD-100062,22339853,Kaos Fashion 68 Hitam,Fashion,18684,2,37368,COMPLETED,2026-01-08T19:50:54.161076,2026-01-08,Thursday,19,1,2,False
ORD-100063,42320964,Fitted Top Shirt Y2K 2000s Coquette Style | Atasan Kemeja .✦ ݁˖ sawako shoujo vintage coquette morikei fairy y2k 2000s cottage whimsical downtown girl bohemian boho etnik retro grunge emo gothic alt core korean style japanese fashion,Fashion,59945,1,59945,COMPLETED,2026-01-08T19:52:54.161076,2026-01-08,Thursday,19,1,2,False
ORD-100064,29880574,Max Fashion shirt O neck size S,Fashion,67551,1,67551,COMPLETED,2026-01-08T19:42:54.161076,2026-01-08,Thursday,19,1,2,False
ORD-100065,25577472,Hoodie fashion mall Topten broken white Authentic,Fashion,151716,1,151716,SHIPPED,2026-01-08T11:22:54.161076,2026-01-08,Thursday,11,1,2,False
ORD-100066,64544318,Kemeja Tnf Lengan Panjang Fashion /Outdoor Pria Original,Fashion,410132,1,410132,COMPLETED,2026-01-08T19:01:54.161076,2026-01-08,Thursday,19,1,2,False
ORD-100067,56293620,Atasan HANA FASHION,Fashion,51400,1,51400,COMPLETED,2026-01-09T14:27:54.161076,2026-01-09,Friday,14,1,2,False
ORD-100068,88243349,(NO NEGO) FRAGILE tailored faux leather shirt jacket black structured office chic vintage officewear structured top korean fashion japanese style collared shirt fitted shirt blazer style black formal polyurethane shirt minimal chic,Fashion,35891,2,71782,COMPLETED,2026-01-09T17:24:54.161076,2026-01-09,Friday,17,1,2,False
ORD-100069,52822737,Woman's Fashion Atasan Y2K/Coquette,Fashion,9177,1,9177,COMPLETED,2026-01-09T15:51:54.161076,2026-01-09,Friday,15,1,2,False
ORD-100070,64383180,Batik keris fashion batik keris,Fashion,223318,1,223318,COMPLETED,2026-01-09T18:27:54.161076,2026-01-09,Friday,18,1,2,False
ORD-100071,93805000,Jaket parka army military green hijau m65 fashion L brenn,Fashion,344778,2,689556,COMPLETED,2026-01-10T17:57:54.161076,2026-01-10,Saturday,17,1,2,True
ORD-100072,41725166,Kaos Art Vespa Vintage Fashion Retro Klasik Baju Abu-Abu,Fashion,58326,1,58326,COMPLETED,2026-01-10T14:35:54.161076,2026-01-10,Saturday,14,1,2,True
ORD-100073,88364831,Jaket parka army military green hijau m65 fashion guess,Fashion,233194,1,233194,COMPLETED,2026-01-10T15:11:54.161076,2026-01-10,Saturday,15,1,2,True
ORD-100074,75900751,CARDIGAN RIB/CARDIGAN CROP/CARDIGAN RAJUT/CARDIGAN WAFER/CARDIGAN WAFFLE/BY GFS (GIRL FASHION STORY),Fashion,10624,1,10624,COMPLETED,2026-01-10T19:13:54.161076,2026-01-10,Saturday,19,1,2,True
ORD-100075,76838306,Sex Pistols M punk Misfits Metallica Nirvana Fashion pop metal rap tee Art,Fashion,1142664,2,2285328,COMPLETED,2026-01-10T14:43:54.161076,2026-01-10,Saturday,14,1,2,True
ORD-100076,38992108,Fashion Today - Kemeja Crinkle Coklat,Fashion,42612,1,42612,COMPLETED,2026-01-10T21:42:54.161076,2026-01-10,Saturday,21,1,2,True
ORD-100077,82462371,crewneck fashion,Fashion,81587,1,81587,COMPLETED,2026-01-10T17:48:54.161076,2026-01-10,Saturday,17,1,2,True
ORD-100078,79673141,"[M] PLAY FASHION [B4-32] - (KAOS POLO / KAOS BERKERAH) (POLO SHIRT) SECOND, THRIFT, BEKAS, PRELOVED, USED - 0uZk2cvEbQYleWOh4XCw",Fashion,98985,1,98985,COMPLETED,2026-01-10T13:15:54.161076,2026-01-10,Saturday,13,1,2,True
ORD-100079,75547289,PRELOVED Fashion Today Shirt,Fashion,67312,1,67312,PROCESSED,2026-01-10T16:36:54.161076,2026-01-10,Saturday,16,1,2,True
ORD-100080,42320964,Fitted Top Shirt Y2K 2000s Coquette Style | Atasan Kemeja .✦ ݁˖ sawako shoujo vintage coquette morikei fairy y2k 2000s cottage whimsical downtown girl bohemian boho etnik retro grunge emo gothic alt core korean style japanese fashion,Fashion,50873,1,50873,COMPLETED,2026-01-11T13:57:54.161076,2026-01-11,Sunday,13,1,2,True
ORD-100081,62349101,Longsleeve Lacoste Fashion,Fashion,69127,2,138254,COMPLETED,2026-01-11T18:29:54.161076,2026-01-11,Sunday,18,1,2,True
ORD-100082,25649285,Fashion NY 68 Varsity Jacket,Fashion,190048,1,190048,COMPLETED,2026-01-11T12:29:54.161076,2026-01-11,Sunday,12,1,2,True
ORD-100083,93805000,Jaket parka army military green hijau m65 fashion L brenn,Fashion,337071,1,337071,SHIPPED,2026-01-11T14:28:54.161076,2026-01-11,Sunday,14,1,2,True
ORD-100084,75900751,CARDIGAN RIB/CARDIGAN CROP/CARDIGAN RAJUT/CARDIGAN WAFER/CARDIGAN WAFFLE/BY GFS (GIRL FASHION STORY),Fashion,12568,2,25136,PROCESSED,2026-01-11T15:28:54.161076,2026-01-11,Sunday,15,1,2,True
ORD-100085,39613896,Hodie Fashion sz M 67x55,Fashion,76290,2,152580,COMPLETED,2026-01-11T14:40:54.161076,2026-01-11,Sunday,14,1,2,True
ORD-100086,96953448,Kemeja Veterano Fashion not Caltop Pendleton Ralph Lauren Giordano,Fashion,77596,2,155192,COMPLETED,2026-01-11T17:04:54.161076,2026-01-11,Sunday,17,1,2,True
ORD-100087,76724915,Brand fashion jepang ills,Fashion,103433,1,103433,COMPLETED,2026-01-11T20:09:54.161076,2026-01-11,Sunday,20,1,2,True
ORD-100088,76903656,KEMEJA BIRU MAX FASHION TIPE OVERSIZE,Fashion,48056,1,48056,COMPLETED,2026-01-11T13:21:54.161076,2026-01-11,Sunday,13,1,2,True
ORD-100089,64383180,Batik keris fashion batik keris,Fashion,161858,1,161858,COMPLETED,2026-01-11T19:49:54.161076,2026-01-11,Sunday,19,1,2,True
ORD-100090,33235209,BKK Fashion,Fashion,81703,2,163406,COMPLETED,2026-01-11T20:30:54.161076,2026-01-11,Sunday,20,1,2,True
ORD-100091,88243349,(NO NEGO) FRAGILE tailored faux leather shirt jacket black structured office chic vintage officewear structured top korean fashion japanese style collared shirt fitted shirt blazer style black formal polyurethane shirt minimal chic,Fashion,36959,1,36959,SHIPPED,2026-01-12T20:34:54.161076,2026-01-12,Monday,20,1,3,False
ORD-100092,64383180,Batik keris fashion batik keris,Fashion,220346,2,440692,COMPLETED,2026-01-12T16:31:54.161076,2026-01-12,Monday,16,1,3,False
ORD-100093,35925127,"Original Jersey Netherlands Away 2015 ""7 Memphis Depay"" Euro Cup Nike [sportswear, sepakbola, vintage, retro, 90s, y2k, skate, casual, fashion, atasan, unisex]",Fashion,817284,1,817284,COMPLETED,2026-01-12T18:53:54.161076,2026-01-12,Monday,18,1,3,False
ORD-100094,88364831,Jaket parka army military green hijau m65 fashion guess,Fashion,222729,3,668187,COMPLETED,2026-01-13T20:42:54.161076,2026-01-13,Tuesday,20,1,3,False
ORD-100095,35925127,"Original Jersey Netherlands Away 2015 ""7 Memphis Depay"" Euro Cup Nike [sportswear, sepakbola, vintage, retro, 90s, y2k, skate, casual, fashion, atasan, unisex]",Fashion,750011,1,750011,COMPLETED,2026-01-13T19:16:54.161076,2026-01-13,Tuesday,19,1,3,False
ORD-100096,1759904,Hoodie Off White Fashion,Fashion,216375,1,216375,PROCESSED,2026-01-13T15:17:54.161076,2026-01-13,Tuesday,15,1,3,False
ORD-100097,22339853,Kaos Fashion 68 Hitam,Fashion,13991,1,13991,COMPLETED,2026-01-13T09:22:54.161076,2026-01-13,Tuesday,9,1,3,False
ORD-100098,76903656,KEMEJA BIRU MAX FASHION TIPE OVERSIZE,Fashion,60624,1,60624,SHIPPED,2026-01-13T17:15:54.161076,2026-01-13,Tuesday,17,1,3,False
ORD-100099,25577472,Hoodie fashion mall Topten broken white Authentic,Fashion,172280,2,344560,COMPLETED,2026-01-13T14:07:54.161076,2026-01-13,Tuesday,14,1,3,False
ORD-100100,52822737,Woman's Fashion Atasan Y2K/Coquette,Fashion,10860,2,21720,COMPLETED,2026-01-13T14:38:54.161076,2026-01-13,Tuesday,14,1,3,False
ORD-100101,50423645,Cardigan rajut fashion,Fashion,77177,3,231531,COMPLETED,2026-01-13T18:19:54.161076,2026-01-13,Tuesday,18,1,3,False
ORD-100102,62349101,Longsleeve Lacoste Fashion,Fashion,89008,1,89008,PROCESSED,2026-01-13T16:24:54.161076,2026-01-13,Tuesday,16,1,3,False
ORD-100103,84979622,Kemeja Lengan Pendek Simon Fashion LD 92 1,Fashion,34276,2,68552,SHIPPED,2026-01-13T16:15:54.161076,2026-01-13,Tuesday,16,1,3,False
ORD-100104,42320964,Fitted Top Shirt Y2K 2000s Coquette Style | Atasan Kemeja .✦ ݁˖ sawako shoujo vintage coquette morikei fairy y2k 2000s cottage whimsical downtown girl bohemian boho etnik retro grunge emo gothic alt core korean style japanese fashion,Fashion,59525,2,119050,COMPLETED,2026-01-14T17:36:54.161076,2026-01-14,Wednesday,17,1,3,False
ORD-100105,85984677,“You Are Gay” Fashion Brand Acrostic Graphic Tee - trashed -faded - distressed - erd - vintage - band tee,Fashion,13177619,1,13177619,COMPLETED,2026-01-14T15:21:54.161076,2026-01-14,Wednesday,15,1,3,False
ORD-100106,77608982,Kaos Fashion L,Fashion,36867,2,73734,CANCELLED,2026-01-14T12:40:54.161076,2026-01-14,Wednesday,12,1,3,False
ORD-100107,29880574,Max Fashion shirt O neck size S,Fashion,59080,2,118160,CANCELLED,2026-01-14T18:17:54.161076,2026-01-14,Wednesday,18,1,3,False
ORD-100108,29880574,Max Fashion shirt O neck size S,Fashion,65582,1,65582,SHIPPED,2026-01-15T14:53:54.161076,2026-01-15,Thursday,14,1,3,False
ORD-100109,82462371,crewneck fashion,Fashion,75622,1,75622,COMPLETED,2026-01-15T18:42:54.161076,2026-01-15,Thursday,18,1,3,False
ORD-100110,1759904,Hoodie Off White Fashion,Fashion,219544,1,219544,COMPLETED,2026-01-15T14:22:54.161076,2026-01-15,Thursday,14,1,3,False
ORD-100111,56293620,Atasan HANA FASHION,Fashion,50085,1,50085,COMPLETED,2026-01-15T17:00:54.161076,2026-01-15,Thursday,17,1,3,False
ORD-100112,31643621,"Bundling Kaos fashion volcom, insight, DC (3pcs)",Fashion,107438,2,214876,COMPLETED,2026-01-15T17:48:54.161076,2026-01-15,Thursday,17,1,3,False
ORD-100113,79673141,"[M] PLAY FASHION [B4-32] - (KAOS POLO / KAOS BERKERAH) (POLO SHIRT) SECOND, THRIFT, BEKAS, PRELOVED, USED - 0uZk2cvEbQYleWOh4XCw",Fashion,115836,1,115836,SHIPPED,2026-01-15T16:05:54.161076,2026-01-15,Thursday,16,1,3,False
ORD-100114,76724915,Brand fashion jepang ills,Fashion,117671,1,117671,COMPLETED,2026-01-15T14:30:54.161076,2026-01-15,Thursday,14,1,3,False
ORD-100115,84353197,PRELOVED Fashion today by alice norin knit top,Fashion,19638,1,19638,COMPLETED,2026-01-15T18:44:54.161076,2026-01-15,Thursday,18,1,3,False
ORD-100116,29880574,Max Fashion shirt O neck size S,Fashion,55030,1,55030,COMPLETED,2026-01-15T12:07:54.161076,2026-01-15,Thursday,12,1,3,False
ORD-100117,64383180,Batik keris fashion batik keris,Fashion,205811,3,617433,COMPLETED,2026-01-15T13:17:54.161076,2026-01-15,Thursday,13,1,3,False
ORD-100118,62349101,Longsleeve Lacoste Fashion,Fashion,71294,2,142588,COMPLETED,2026-01-16T15:45:54.161076,2026-01-16,Friday,15,1,3,False
ORD-100119,64383180,Batik keris fashion batik keris,Fashion,160686,1,160686,COMPLETED,2026-01-16T11:08:54.161076,2026-01-16,Friday,11,1,3,False
ORD-100120,48838750,"Original Jersey Tottenham Hotspur ""Home"" 2014/15 #2 Walker Capital One Cup Final Under Armour [sportswear, sepakbola, vintage, retro, 90s, y2k, skate, casual, fashion, atasan, unisex]",Fashion,219270,2,438540,COMPLETED,2026-01-16T19:30:54.161076,2026-01-16,Friday,19,1,3,False
ORD-100121,75547289,PRELOVED Fashion Today Shirt,Fashion,54286,1,54286,PROCESSED,2026-01-16T11:30:54.161076,2026-01-16,Friday,11,1,3,False
ORD-100122,22019397,Jaket Bomber Fashion,Fashion,106028,2,212056,COMPLETED,2026-01-16T11:03:54.161076,2026-01-16,Friday,11,1,3,False
ORD-100123,62583289,Crewnack Off white Fashion,Fashion,112513,1,112513,CANCELLED,2026-01-16T14:07:54.161076,2026-01-16,Friday,14,1,3,False
ORD-100124,84353197,PRELOVED Fashion today by alice norin knit top,Fashion,20965,2,41930,COMPLETED,2026-01-16T18:33:54.161076,2026-01-16,Friday,18,1,3,False
ORD-100125,50133989,kemeja ootd jumbo bigsize preloved fashion today,Fashion,66231,2,132462,COMPLETED,2026-01-17T16:36:54.161076,2026-01-17,Saturday,16,1,3,True
ORD-100126,75900751,CARDIGAN RIB/CARDIGAN CROP/CARDIGAN RAJUT/CARDIGAN WAFER/CARDIGAN WAFFLE/BY GFS (GIRL FASHION STORY),Fashion,12840,1,12840,SHIPPED,2026-01-17T12:40:54.161076,2026-01-17,Saturday,12,1,3,True
ORD-100127,38992108,Fashion Today - Kemeja Crinkle Coklat,Fashion,32636,1,32636,COMPLETED,2026-01-17T14:10:54.161076,2026-01-17,Saturday,14,1,3,True
ORD-100128,77608982,Kaos Fashion L,Fashion,35272,1,35272,COMPLETED,2026-01-17T16:18:54.161076,2026-01-17,Saturday,16,1,3,True
ORD-100129,76724915,Brand fashion jepang ills,Fashion,108161,2,216322,PROCESSED,2026-01-17T17:50:54.161076,2026-01-17,Saturday,17,1,3,True
ORD-100130,48838750,"Original Jersey Tottenham Hotspur ""Home"" 2014/15 #2 Walker Capital One Cup Final Under Armour [sportswear, sepakbola, vintage, retro, 90s, y2k, skate, casual, fashion, atasan, unisex]",Fashion,244312,1,244312,COMPLETED,2026-01-17T13:14:54.161076,2026-01-17,Saturday,13,1,3,True
ORD-100131,64544318,Kemeja Tnf Lengan Panjang Fashion /Outdoor Pria Original,Fashion,352188,1,352188,COMPLETED,2026-01-17T13:50:54.161076,2026-01-17,Saturday,13,1,3,True
ORD-100132,41725166,Kaos Art Vespa Vintage Fashion Retro Klasik Baju Abu-Abu,Fashion,61472,1,61472,COMPLETED,2026-01-17T20:29:54.161076,2026-01-17,Saturday,20,1,3,True
ORD-100133,42320964,Fitted Top Shirt Y2K 2000s Coquette Style | Atasan Kemeja .✦ ݁˖ sawako shoujo vintage coquette morikei fairy y2k 2000s cottage whimsical downtown girl bohemian boho etnik retro grunge emo gothic alt core korean style japanese fashion,Fashion,50928,1,50928,COMPLETED,2026-01-17T14:28:54.161076,2026-01-17,Saturday,14,1,3,True
ORD-100134,82462371,crewneck fashion,Fashion,87903,1,87903,COMPLETED,2026-01-17T18:01:54.161076,2026-01-17,Saturday,18,1,3,True
ORD-100135,82462371,crewneck fashion,Fashion,81880,1,81880,COMPLETED,2026-01-17T19:01:54.161076,2026-01-17,Saturday,19,1,3,True
ORD-100136,47393802,Hodie Champion Fashion sz M 62x57,Fashion,135659,2,271318,COMPLETED,2026-01-17T18:33:54.161076,2026-01-17,Saturday,18,1,3,True
